integration_flow_id,package_id
IPG_EAI_Routing_Vantage_CITI_APAC_Payment_Receiver,IPGEAIRoutingVantageCITIAPAC
IPG_EAI_Routing_Vantage_CITI_APAC_Payment_Timer,IPGEAIRoutingVantageCITIAPAC
IPG_EAI_Routing_Vantage_CITI_APAC_Payment_PH_Sender,IPGEAIRoutingVantageCITIAPAC
